Month,Year,monthyr,Custom Variable (Value 06),Sessions,Users,Pageviews,Story Visits (Goal 6 Conversion Rate),Streaming Visits (Goal 1 Conversion Rate),Streaming Event (Goal 11 Conversion Rate)
Nov,2015,Nov2015,WCBE,19449,12670,47331,0.423620752,0.126484652,0.190960975
Nov,2015,Nov2015,KCBX,19107,11118,33838,0.409588109,0.013816926,0.027372167
Nov,2015,Nov2015,KRCC,18476,10157,33672,0.248159775,0.205347478,0.270080104
Nov,2015,Nov2015,WMUK,18195,13935,28122,0.742181918,0.000549602,0.090629294
Nov,2015,Nov2015,WDET,17839,6492,24137,0,0,0.380738831
Nov,2015,Nov2015,WGCU,17755,14872,27122,0.808560969,0.018304703,0.049056604
Nov,2015,Nov2015,WUOT,17602,7825,36839,0.212987161,0.00659016,0.408646745
Nov,2015,Nov2015,WEMU 89.1,17541,11662,32443,0.468502366,0.05478593,0.216122228
Nov,2015,Nov2015,KPBX,16693,9470,32965,0.34793027,0.15934823,0.224105913
Nov,2015,Nov2015,WDDE,16667,12377,32508,0.802663947,0.003839923,0.038279234
Nov,2015,Nov2015,WCPN,16637,12508,31814,0.107711727,0.004808559,0
Nov,2015,Nov2015,Ozarks Public Radio,15935,10175,30316,0.576906181,0.015186696,0.213115783
Nov,2015,Nov2015,KPCW 91.9FM,15468,9004,36260,0.492629946,0.269006982,0.152508404
Nov,2015,Nov2015,WHQR,15268,10034,27889,0.436402934,0.005305214,0.201401624
Nov,2015,Nov2015,WMRA,14735,8893,23319,0.448863251,0.012080081,0.261961317
Nov,2015,Nov2015,WEKU,14444,6576,25912,0.308363334,0.136319579,0.313694268
Nov,2015,Nov2015,High Plains Public Radio,14324,10326,26703,0.644582519,0.039863167,0.137182351
Nov,2015,Nov2015,Utah Public Radio,14131,10790,23351,0.711768452,0.116623027,0.059514542
Nov,2015,Nov2015,WGTE Public Media,14130,8451,36350,0,0.188818117,0
Nov,2015,Nov2015,KAJX,13861,8929,29654,0.630041123,0.069042638,0.136570233
Nov,2015,Nov2015,WCBU peoria public radio,13556,9434,26861,0.658232517,0.086456182,0.125922101
Nov,2015,Nov2015,Alabama Public Radio,13161,9987,21478,0.584150141,0.002431426,0.021502925
Nov,2015,Nov2015,KUAF 91.3 FM Fayetteville,13077,7042,29252,0.38678596,0.010399939,0.29861589
Nov,2015,Nov2015,NIPR Northeast Indiana Public Radio,12729,7799,24120,0.443711211,0.083274413,0.281404667
Nov,2015,Nov2015,WUKY,12720,7634,20819,0.480345912,0.002358491,0.036084906
Nov,2015,Nov2015,WUWF,12708,8848,24497,0.590258105,0.003462386,0.172568461
Nov,2015,Nov2015,WBAA,12299,7684,21097,0.476380194,0.005935442,0.256443613
Nov,2015,Nov2015,Tri States Public Radio,12180,8854,23802,0.743103448,0.019129721,0.051724138
Nov,2015,Nov2015,KIOS,11883,6198,21355,0.300429185,0,0.263906421
Nov,2015,Nov2015,WPSU,11873,8908,26830,0.59260507,0.002189842,0.01448665
Nov,2015,Nov2015,KRVS,11132,5008,27678,0.330039526,0.000179662,0.301652893
Nov,2015,Nov2015,KANW,10870,6262,17921,0.100551978,0.002299908,0.258141674
Nov,2015,Nov2015,WNMU,10843,7017,24209,0.55261459,0.000184451,0.008115835
Nov,2015,Nov2015,KSUT Four Corners,10591,3664,20882,0.13520914,0.195071287,0.497403456
Nov,2015,Nov2015,WKNO,10527,4961,19211,0.28507647,0.001709889,0.304075235
Nov,2015,Nov2015,WAER Syracuse Public Media,10312,6317,21274,0.333882855,0.069045772,0.264158262
Nov,2015,Nov2015,Delmarva Public Radio,10082,7902,23009,0.657310058,0.000198373,0.12447927
Nov,2015,Nov2015,WRKF,9983,5296,20085,0.363017129,0.000901533,0.381648803
Nov,2015,Nov2015,KUMD,9941,5901,22647,0.424504577,0.093853737,0.220098582
Nov,2015,Nov2015,Northstate Public Radio,9903,5843,21977,0.471271332,0.043522165,0.222255882
Nov,2015,Nov2015,88.1 WVPE,9572,4491,15694,0.178646051,0.003552027,0.556623485
Nov,2015,Nov2015,Red River Radio KDAQ,9352,5612,22222,0.466103507,0.000427716,0.217814371
Nov,2015,Nov2015,KUSP,9313,6627,16509,0.017609793,0,0.040695802
Nov,2015,Nov2015,White Pine Community Broadcasting,9099,6579,16634,0.651939774,0.073634465,0.015496208
Nov,2015,Nov2015,WUTC,8801,4570,18370,0.338597887,0.001022611,0.289285308
Nov,2015,Nov2015,KVNF,8428,4929,19125,0.350142383,0.322971049,0.167062174
Nov,2015,Nov2015,WEAA-FM,8082,5274,20757,0.27295224,0.007918832,0.057782727
Nov,2015,Nov2015,WFIT,8060,4318,18226,0.284243176,0.000248139,0.30719603
Nov,2015,Nov2015,KVCR,7511,4762,17482,0.460391426,0.000133138,0.25309546
Nov,2015,Nov2015,WUCF-FM,7471,5264,11831,0,0.595636461,0.013652791
Nov,2015,Nov2015,WKU Public Radio,7143,4861,11454,0.481450371,0.000419992,0.242755145
Nov,2015,Nov2015,KTEP,7021,4991,11920,0.459763566,0.00028486,0.204386839
Nov,2015,Nov2015,WSKG Public Media,6895,5730,13553,0.839593909,0,0.010007252
Nov,2015,Nov2015,WTEB,6877,4647,13201,0.443507343,0.000145412,0.232077941
Nov,2015,Nov2015,WQCS FM,6704,3321,13085,0.228520286,0.000447494,0.397076372
Nov,2015,Nov2015,KSFR,6563,4027,16497,0.317690081,0.000304739,0.221849764
Nov,2015,Nov2015,PECONIC PUBLIC BROADCASTING,6244,4351,12946,0.494074311,0.00640615,0.228699552
Nov,2015,Nov2015,Digital Services,6100,4575,12369,0.385737705,0.013934426,0.005409836
Nov,2015,Nov2015,WSIU Public Broadcasting,5792,4559,11709,0.767610497,0.001726519,0.037120166
Nov,2015,Nov2015,WVIK,5408,3735,11234,0.563794379,0.000369822,0.161612426
Nov,2015,Nov2015,KWBU,5306,4078,8782,0.67828873,0.092913683,0.004711647
Nov,2015,Nov2015,WDIY,5230,3349,12059,0.177055449,0.000956023,0.181644359
Nov,2015,Nov2015,KUAC,5118,4283,7843,0.712192263,0,0.056858148
Nov,2015,Nov2015,WMOT,5066,4273,9962,0.619621003,0,0.080142124
Nov,2015,Nov2015,KRCB,5030,3480,11937,0.470576541,0.005367793,0.154870775
Nov,2015,Nov2015,KRCU,5023,3863,11700,0.689428628,0.028469042,0.088194306
Nov,2015,Nov2015,WYSU,4901,2639,9193,0.00122424,0.468883901,0
Nov,2015,Nov2015,KNBA KBC,4790,2758,10641,0.270354906,0,0.296033403
Nov,2015,Nov2015,KBBI,4256,3228,7456,0.312734962,0.000234962,0.016917293
Nov,2015,Nov2015,WMKY,4186,3253,9108,0.668896321,0.02006689,0.084328715
Nov,2015,Nov2015,KSJD,3736,2006,9368,0.336456103,0.00990364,0.189239829
Nov,2015,Nov2015,Georgia Public Broadcasting,3704,2901,10721,0.043736501,0.000809935,0
Nov,2015,Nov2015,KASU,3675,2520,6611,0.502857143,0.000272109,0.205442177
Nov,2015,Nov2015,KTTZ,3427,2056,9079,0.241318938,0,0.218266706
Nov,2015,Nov2015,WGVU,3383,2509,7891,0.698492462,0.000295596,0.038723027
Nov,2015,Nov2015,KENW,3219,2299,8817,0.174899037,0.000931966,0
Nov,2015,Nov2015,KEDM,2613,1644,6814,0.583237658,0.001530808,0.154994259
Nov,2015,Nov2015,KAWC,2465,1753,5630,0.432454361,0.217849899,0.038539554
Nov,2015,Nov2015,WEOS,2298,1556,4580,0.093559617,0.000435161,0.313751088
Nov,2015,Nov2015,KWIT,2287,1643,4243,0.526016616,0,0.104940971
Nov,2015,Nov2015,KACU,2146,1009,4002,0.264678472,0.001863933,0.27166822
Nov,2015,Nov2015,WESM,1954,1266,5689,0.408904811,0.021494371,0.243091095
Nov,2015,Nov2015,WVAS,1937,1544,4768,0.369643779,0,0.218378936
Nov,2015,Nov2015,KCND,1907,1476,3109,0.838489775,0,0.002621919
Nov,2015,Nov2015,KCCU,1766,1144,3293,0.303510759,0.001132503,0.238958097
Nov,2015,Nov2015,WPRL,1627,1194,3219,0.185003073,0,0.108174554
Nov,2015,Nov2015,KUCB,1564,1030,4453,0.497442455,0,0.017902813
Nov,2015,Nov2015,Southern California Public Radio,1314,1182,1809,0.152207002,0.02435312,0
Nov,2015,Nov2015,WCSU,1221,716,4413,0.393939394,0,0.232596233
Nov,2015,Nov2015,WTMD,775,659,1622,0,0,0
Nov,2015,Nov2015,WNIN,670,505,1282,0.753731343,0,0.050746269
